iter	RMSE
0	1.31245944
1	1.25728626
2	1.214508077
3	1.174734592
4	1.138762075
5	1.107432617
6	1.07893199
7	1.052296654
8	1.029638251
9	1.008189297
10	0.98678587
11	0.9746801021
12	0.9641453782
13	0.9525076214
14	0.9352378498
15	0.9224326099
16	0.9146269767
17	0.9075018916
18	0.9000520942
19	0.8921181858
20	0.8867971157
21	0.8819230723
22	0.8737019085
23	0.8653770253
24	0.861466902
25	0.8566190363
26	0.8542753093
27	0.8499269957
28	0.8479816046
29	0.8437374794
30	0.8396011597
31	0.8378954163
32	0.8310257011
33	0.824139381
34	0.8199413944
35	0.81595231
36	0.8151303044
37	0.8110423241
38	0.8090874905
39	0.8063633977
40	0.8012700088
41	0.7984360668
42	0.7929479915
43	0.7890318215
44	0.7877286352
45	0.7868909387
46	0.7845426939
47	0.7830163023
48	0.7794669154
49	0.7753713187
50	0.7739520777
51	0.7700492168
52	0.7669831515
53	0.7661699149
54	0.763298338
55	0.7619518212
56	0.7610089335
57	0.7593002961
58	0.7584162319
59	0.7558296913
60	0.754403832
61	0.751680679
62	0.7507498257
63	0.7500276437
64	0.7495416228
65	0.7489519837
66	0.7459588165
67	0.7452023512
68	0.7430172219
69	0.7401563588
70	0.739111761
71	0.736300718
72	0.7355773955
73	0.7348937418
74	0.7345086187
75	0.7339678933
76	0.733329413
77	0.7312573525
78	0.7307484714
79	0.7281229137
80	0.7276551496
81	0.7250464142
82	0.7216480387
83	0.7211714034
84	0.7206748478
85	0.72011864
86	0.7168776581
87	0.7163468733
88	0.712955061
89	0.7125269748
90	0.7114402843
91	0.711026758
92	0.7101526185
93	0.7098204298
94	0.7065038078
95	0.7060628398
96	0.7057070067
97	0.7027447917
98	0.7022894651
99	0.7005960726
100	0.6980014207
101	0.6966752625
102	0.6960605977
103	0.6937201286
104	0.6930496871
105	0.6906218299
106	0.6889503066
107	0.6863673271
108	0.6854247356
109	0.6845768843
110	0.6843156635
111	0.683541951
112	0.6830266408
113	0.6824597876
114	0.6819505878
115	0.6814790758
116	0.6792021042
117	0.6789523099
118	0.6770409276
119	0.6748238331
120	0.6717568237
121	0.6715336054
122	0.6681072378
123	0.6677411553
124	0.6644617325
125	0.6641183328
126	0.6620603304
127	0.6614751015
128	0.6611275627
129	0.6592931036
130	0.6589653717
131	0.656972885
132	0.6567311727
133	0.6564269416
134	0.6534912185
135	0.6504085969
136	0.6488808685
137	0.6486289196
138	0.6481625157
139	0.6478344498
140	0.6465498667
141	0.6461383784
142	0.6432460956
143	0.6403575092
144	0.6390946105
145	0.6373696671
146	0.6370923156
147	0.6368313474
148	0.635859503
149	0.6343257146
150	0.6321002018
151	0.6318854688
152	0.6306640701
153	0.6293287736
154	0.6290816418
155	0.6279880628
156	0.6277936776
157	0.6275274144
158	0.6268904777
159	0.6251827841
160	0.6233890182
161	0.6209737569
162	0.6194978981
