iter	Passed	Remaining
0	1	234
1	2	213
2	4	223
3	5	222
4	7	232
5	8	225
6	9	217
7	10	210
8	12	207
9	13	206
10	14	201
11	15	197
12	16	193
13	17	189
14	19	188
15	19	183
16	21	180
17	22	177
18	23	174
19	23	171
20	24	167
21	25	164
22	26	160
23	27	158
24	28	155
25	29	153
26	30	151
27	31	151
28	33	155
29	36	163
30	38	164
31	40	165
32	41	163
33	42	162
34	44	161
35	45	159
36	46	157
37	47	156
38	48	154
39	49	152
40	51	152
41	52	150
42	54	150
43	55	149
44	56	148
45	58	148
46	59	147
47	60	145
48	61	143
49	62	142
50	63	140
51	65	138
52	66	137
53	67	135
54	67	133
55	68	131
56	69	130
57	70	128
58	73	130
59	77	132
60	78	130
61	79	128
62	80	127
63	81	125
64	82	123
65	82	121
66	83	120
67	84	118
68	85	116
69	86	114
70	86	112
71	87	110
72	88	109
73	89	107
74	90	105
75	91	104
76	92	103
77	93	102
78	94	100
79	95	99
80	96	97
81	97	95
82	97	94
83	98	92
84	99	91
85	100	89
86	101	88
87	101	86
88	102	85
89	103	84
90	104	82
91	105	81
92	106	79
93	107	78
94	107	77
95	108	75
96	109	74
97	110	73
98	111	72
99	112	70
100	113	69
101	114	68
102	115	67
103	116	66
104	117	64
105	118	63
106	118	62
107	119	61
108	120	59
109	121	58
110	122	57
111	123	56
112	124	55
113	125	53
114	126	52
115	127	51
116	128	50
117	129	49
118	130	48
119	131	46
120	132	45
121	133	44
122	134	43
123	134	42
124	135	41
125	136	40
126	137	39
127	138	37
128	139	36
129	140	35
130	141	34
131	142	33
132	143	32
133	144	31
134	145	30
135	146	29
136	147	27
137	148	26
138	149	25
139	150	24
140	151	23
141	152	22
142	153	21
143	154	20
144	155	19
145	156	18
146	157	17
147	158	16
148	159	14
149	160	13
150	161	12
151	162	11
152	163	10
153	164	9
154	166	8
155	167	7
156	168	6
157	169	5
158	170	4
159	171	3
160	172	2
161	173	1
162	174	0
