Feature,Importance
molecular_weight,0.2084170134854597
Cl1,0.014974941974758335
Cl2,0.007425370262763043
Cl3,0.0
Cl4,0.0
Cl5,0.0
Cl6,0.0
Br1,0.00010858522115621726
Br2,0.0
Br3,0.0
Br4,0.0
Br5,0.0
Br6,0.0
Br7,0.0
Br8,0.0
Br9,0.0
Br10,0.0
F1,0.001072251232042879
F2,0.006086246162486194
F3,0.0
F4,0.0017902164274010352
F5,0.0
F6,0.0
F7,0.0
F8,0.0
F9,0.0
F10,0.0
F11,0.0
F12,0.0
F13,0.0
F14,0.0
F15,0.0
F16,0.0
F17,0.0
F18,0.0
F19,0.0
F20,0.0
I1,0.0
I2,0.0
I3,0.0
num_C,0.0054207072248887685
num_H,0.04139682741550542
num_Cl,0.0044728601078260705
num_Br,0.00011117315257460723
num_F,0.000759989146991801
num_I,0.0
num_D,0.0
num_O,0.0003797307989202291
num_N,0.0
electron_affinity,0.014597167850970354
lowest_bde,0.33568552199781587
mean_bde,0.35730139753843954
