Feature,Importance
molecular_weight,0.1507195548733228
Cl1,0.00873016678404202
Cl2,0.004839401392310701
Cl3,0.0
Cl4,0.0
Cl5,0.0
Cl6,0.0
Br1,0.0
Br2,0.0
Br3,0.0
Br4,0.0
Br5,0.0
Br6,0.0
Br7,0.0
Br8,0.0
Br9,0.0
Br10,0.0
F1,6.350332016337702e-05
F2,0.0
F3,0.0003255394383241049
F4,0.004665995911349227
F5,0.00047889114071765314
F6,0.0
F7,0.0
F8,0.0
F9,0.0
F10,0.0
F11,0.0
F12,0.0
F13,0.0
F14,0.0
F15,0.0
F16,0.0
F17,0.0
F18,0.0
F19,0.0
F20,0.0
I1,0.0
I2,0.0
I3,0.0
num_C,0.009645387639956097
num_H,0.017966573323516116
num_Cl,0.0026428850080733104
num_Br,0.0
num_F,0.004442563240891514
num_I,0.0
num_D,0.0
num_O,0.0
num_N,0.0
electron_affinity,0.053329937522338694
lowest_bde,0.39131430715860527
mean_bde,0.35083529324638907
