Feature,Importance
molecular_weight,0.18159312536972888
Cl1,0.0186354996614405
Cl2,0.018359971717876962
Cl3,8.81317615866322e-05
Cl4,0.0
Cl5,0.0
Cl6,0.0
Br1,0.005701946479756217
Br2,0.0
Br3,0.0
Br4,0.0
Br5,0.0
Br6,0.0
Br7,0.0
Br8,0.0
Br9,0.0
Br10,0.0
F1,0.0006097409220236411
F2,0.0006828252122460858
F3,0.0006336043967426289
F4,0.0007524072501233893
F5,0.0
F6,9.578095480585162e-05
F7,0.0
F8,0.0
F9,0.0
F10,0.0
F11,0.0
F12,0.0
F13,0.0
F14,0.0
F15,0.0
F16,0.0
F17,0.0
F18,0.0
F19,0.0
F20,0.0
I1,0.0
I2,0.0
I3,0.0
num_C,0.013357262508431972
num_H,0.09251591794596965
num_Cl,0.012431882916891871
num_Br,0.007593431498963658
num_F,0.002241138650054132
num_I,0.0
num_D,0.0
num_O,0.03751136883932756
num_N,0.0
electron_affinity,0.010314434105477168
lowest_bde,0.31325554189917737
mean_bde,0.28362598790937577
