Feature,Importance
molecular_weight,0.024570849
num_C,0.009486958
num_H,0.026786337
num_Cl,0.018165797
num_Br,0.0054157632
num_F,0.021714348
num_I,0.051799774
num_D,0.0
num_O,0.042108934
num_N,0.016927648
Cl1,0.026274877
Cl2,0.010835386
Cl3,0.005023987
Cl4,0.0
Cl5,0.0
Br1,0.004945962
Br2,0.0
Br3,0.0
Br4,0.0
F1,0.024874702
F2,0.03850188
F3,0.060028475
F4,0.0
F6,0.014942449
F11,0.0
F13,0.0
F15,0.0
F19,0.0
I1,0.0040489086
I2,0.0
electron_affinity,0.0065998635
lowest_bde,0.1526377
mean_bde,0.43430936
