Feature,Importance
molecular_weight,0.019364739
num_C,0.009356927
num_H,0.018403681
num_Cl,0.00436954
num_Br,0.002534478
num_F,0.014555346
num_I,0.027133562
num_D,0.0
num_O,0.033414822
num_N,0.00895008
Cl1,0.013533968
Cl2,0.006925573
Cl3,0.0015724555
Cl4,0.0
Cl5,0.0
Br1,0.0042386493
Br2,0.0010668248
Br3,0.0
Br4,0.0
F1,0.018358428
F2,0.03319382
F3,0.26049876
F4,0.0
F6,0.009126134
F11,0.0
F13,0.0
F15,0.0
F19,0.0
I1,0.003767792
I2,0.0
electron_affinity,0.0070705516
lowest_bde,0.14990215
mean_bde,0.33708417
th_energy,0.015577527
