Feature,Importance
molecular_weight,0.021363312
num_C,0.007054376
num_H,0.031224802
num_Cl,0.012971145
num_Br,0.0016438556
num_F,0.020863287
num_I,0.22527656
num_D,0.05280217
num_O,0.062934935
num_N,0.005726889
Cl1,0.026103346
Cl2,0.00095853256
Cl3,0.001288713
Cl4,0.0
Cl5,0.0
Cl6,0.0
Br1,0.00080265873
Br2,9.7915356e-05
Br3,0.0
Br4,0.0
Br5,0.0
Br6,0.0
Br7,0.0
Br8,0.0
Br9,0.0
Br10,0.0
F1,0.007828382
F2,0.00595926
F3,0.00016694579
F4,0.0
F5,0.0
F6,0.016368518
F7,0.0
F8,0.0
F9,0.0
F10,0.0
F11,0.0
F12,0.0
F13,0.0
F14,0.0
F15,0.0
F16,0.0
F17,0.0
F18,0.0
F19,0.0
F20,0.0
I1,0.00033204746
I2,0.0
I3,0.0
electron_affinity,0.00070297765
lowest_bde,0.38811392
mean_bde,0.086598314
th_energy,0.022817062
